appid,player_id,game_name,play_time,genres,categories,currency,initial_price,final_price,discount_percent
10,0,Counter-Strike,552,['Action'],"['Family Sharing', 'Multi-player', 'Online PvP', 'PvP', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled']",GBP,719,719,0
20,0,Team Fortress Classic,0,['Action'],"['Family Sharing', 'Multi-player', 'Online PvP', 'PvP', 'Remote Play Together', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled']",GBP,429,429,0
30,0,Day of Defeat,5,['Action'],"['Family Sharing', 'Multi-player', 'Valve Anti-Cheat enabled']",GBP,429,429,0
40,0,Deathmatch Classic,15,['Action'],"['Family Sharing', 'Multi-player', 'Online PvP', 'PvP', 'Remote Play Together', 'Shared/Split Screen PvP', 'Valve Anti-Cheat enabled']",GBP,429,429,0
50,0,Half-Life: Opposing Force,0,['Action'],"['Family Sharing', 'Multi-player', 'Single-player', 'Valve Anti-Cheat enabled']",GBP,429,429,0
60,0,Ricochet,15,['Action'],"['Family Sharing', 'Multi-player', 'Online PvP', 'PvP', 'Valve Anti-Cheat enabled']",GBP,429,429,0
70,0,Half-Life,0,['Action'],"['Family Sharing', 'Full controller support', 'Multi-player', 'Online PvP', 'PvP', 'Remote Play on Phone', 'Remote Play on Tablet', 'Single-player', 'Steam Cloud', 'Valve Anti-Cheat enabled']",GBP,719,719,0
80,0,Counter-Strike: Condition Zero,64,['Action'],"['Family Sharing', 'Multi-player', 'Single-player', 'Valve Anti-Cheat enabled']",GBP,719,719,0
100,0,Counter-Strike: Condition Zero Deleted Scenes,14,['Action'],"['Family Sharing', 'Multi-player', 'Single-player', 'Valve Anti-Cheat enabled']",GBP,719,719,0
130,0,Half-Life: Blue Shift,0,['Action'],"['Family Sharing', 'Single-player']",GBP,429,429,0
220,0,Half-Life 2,881,['Action'],"['Captions available', 'Commentary available', 'Family Sharing', 'Full controller support', 'Includes Source SDK', 'Remote Play Together', 'Remote Play on Phone', 'Remote Play on Tablet', 'Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam Timeline', 'Steam Trading Cards', 'Steam Workshop']",GBP,850,850,0
240,0,Counter-Strike: Source,816,['Action'],"['Cross-Platform Multiplayer', 'Family Sharing', 'Includes Source SDK', 'Multi-player', 'Stats', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']",GBP,850,850,0
280,0,Half-Life: Source,0,['Action'],"['Family Sharing', 'Remote Play Together', 'Single-player']",GBP,850,850,0
